"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Bungoma","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2774.6","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","299.94","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","254.5","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","146.4","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","97.22","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","89.88","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","107.08","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","55057.5","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","63229.5","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","72661.68","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","86526","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","36631","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","51483","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","53629","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","67445","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","69449.5","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","42028","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","64360.45","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2108.7","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","4575.96","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","6429.96","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2663","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2087","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2916.7","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2493","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2592.9","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2364.6","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","5858","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","4289","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","4600","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","4522","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","3632","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","3741","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","3741","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","3686","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","3492","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","3814","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","3719","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","5751","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","8831","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","9454","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Sunflower (Production Quantity)","21.2","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Sunflower (Production Quantity)","49.5","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","17841.69","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","13954.5","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","13964","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","16355","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","15271","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","12839.9","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","10284.85","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","8131.9","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","8856","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","7657","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","6356.25","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","5570","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","984","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","887","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2817","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2856.7","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2657","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2357","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2130","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2107.5","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","450.18","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","139.23","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","131.31","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","156","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","110","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","167.3","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","100.7","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","65.6","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","71.8","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","86.1","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","72","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","1859.6","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2996","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","589.77","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","490.68","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","318.6","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","622","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","632","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","345.5","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","280.07","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","287.2","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","320","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","253.5","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","196","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","412.8","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","141460","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","212558","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","196305","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","90400","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","130891","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","232136","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","386986","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","399276","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","436657","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","425964","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","332425","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","95004.621","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","101335.77","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","103448.43","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","78020","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","75005","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","80823.15","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","92601.412","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","104486.9","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","87431.25","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pigeon Peas (Production Quantity)","5","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pigeon Peas (Production Quantity)","0","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2448.36","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","1768.5","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","1831.68","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","1535","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","1405","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2475.1","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","3049.3","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","3277","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","1912","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","86007","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","72330.32","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","21","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","16","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
